operation_id,created_at,amount,bank,provider,status,latency_sec,skip_reason
op_045,2026-07-29T15:40:00Z,77000,raiffeisen,vipay,approved,26,
op_046,2026-07-29T15:45:00Z,23000,sber,payflow,approved,17,
op_047,2026-07-29T15:50:00Z,145000,tbank,quickpay,approved,27,
op_048,2026-07-29T15:55:00Z,41000,vtb,vipay,approved,24,
op_049,2026-07-29T16:00:00Z,6200,gazprombank,payflow,approved,19,
op_050,2026-07-29T16:05:00Z,89000,sber,vipay,approved,25,
op_051,2026-07-29T16:10:00Z,17000,alfa,payflow,approved,16,
op_052,2026-07-29T16:15:00Z,220000,tbank,quickpay,approved,32,
op_053,2026-07-29T16:20:00Z,36000,raiffeisen,vipay,approved,23,
op_054,2026-07-29T16:25:00Z,33000,sber,payflow,approved,18,
op_055,2026-07-29T16:30:00Z,58000,vtb,vipay,approved,24,
op_056,2026-07-29T16:35:00Z,9500,tbank,payflow,approved,17,
op_057,2026-07-29T16:40:00Z,165000,alfa,quickpay,approved,29,
op_058,2026-07-29T16:45:00Z,27000,sber,vipay,approved,22,
op_059,2026-07-29T16:50:00Z,15000,vtb,payflow,rejected,38,insufficient_requisites
op_060,2026-07-29T16:55:00Z,92000,raiffeisen,vipay,approved,26,
op_061,2026-07-29T17:00:00Z,4100,gazprombank,payflow,approved,19,
op_062,2026-07-29T17:05:00Z,260000,sber,quickpay,approved,31,
op_063,2026-07-29T17:10:00Z,44000,tbank,vipay,approved,24,
op_064,2026-07-29T17:15:00Z,26000,alfa,payflow,approved,17,
op_065,2026-07-29T17:20:00Z,67000,vtb,vipay,approved,25,
op_066,2026-07-29T17:25:00Z,13500,sber,payflow,approved,18,
op_067,2026-07-29T17:30:00Z,195000,raiffeisen,quickpay,approved,30,
op_068,2026-07-29T17:35:00Z,38000,tbank,vipay,approved,23,
op_069,2026-07-29T17:40:00Z,7800,gazprombank,payflow,approved,19,
op_070,2026-07-29T17:45:00Z,81000,sber,vipay,approved,25,
op_071,2026-07-29T17:50:00Z,31000,alfa,payflow,approved,17,
op_072,2026-07-29T17:55:00Z,140000,vtb,quickpay,approved,28,
op_073,2026-07-29T18:00:00Z,23000,raiffeisen,vipay,approved,22,
op_074,2026-07-29T18:05:00Z,49000,sber,payflow,approved,18,
op_075,2026-07-29T18:10:00Z,54000,tbank,vipay,approved,24,
op_076,2026-07-29T18:15:00Z,11000,vtb,payflow,approved,16,
op_077,2026-07-29T18:20:00Z,170000,alfa,quickpay,approved,29,
op_078,2026-07-29T18:25:00Z,32000,sber,vipay,approved,23,
op_079,2026-07-29T18:30:00Z,8200,tbank,payflow,approved,17,
op_080,2026-07-29T18:35:00Z,76000,raiffeisen,vipay,approved,25,
op_081,2026-07-29T18:40:00Z,19500,sber,payflow,approved,18,
op_082,2026-07-29T18:45:00Z,230000,vtb,quickpay,approved,30,
op_083,2026-07-29T18:50:00Z,43000,tbank,vipay,approved,24,
op_084,2026-07-29T18:55:00Z,5400,gazprombank,payflow,approved,19,
op_085,2026-07-29T19:00:00Z,88000,sber,vipay,approved,26,
op_086,2026-07-29T19:05:00Z,28000,alfa,payflow,approved,17,
op_087,2026-07-29T19:10:00Z,155000,tbank,quickpay,approved,28,
op_088,2026-07-29T19:15:00Z,35000,raiffeisen,vipay,approved,23,
op_089,2026-07-29T19:20:00Z,39000,sber,payflow,approved,18,
op_090,2026-07-29T19:25:00Z,61000,vtb,vipay,approved,24,
op_091,2026-07-29T19:30:00Z,16500,tbank,payflow,approved,17,
op_092,2026-07-29T19:35:00Z,275000,sber,quickpay,approved,31,
op_093,2026-07-29T19:40:00Z,46000,alfa,vipay,approved,24,
op_094,2026-07-29T19:45:00Z,8900,gazprombank,payflow,approved,19,
op_095,2026-07-29T19:50:00Z,71000,raiffeisen,vipay,approved,25,
op_096,2026-07-29T19:55:00Z,24500,sber,payflow,approved,18,
op_097,2026-07-29T20:00:00Z,185000,tbank,quickpay,approved,29,
op_098,2026-07-29T20:05:00Z,29000,vtb,vipay,approved,22,
op_099,2026-07-29T20:10:00Z,14000,alfa,payflow,approved,17,
op_100,2026-07-29T20:15:00Z,97000,sber,vipay,approved,26,
